Source Position,Source Feature,Business-Friendly Label,Repeat Number,Baseline PR AUC,Permuted PR AUC,PR AUC Decrease
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),16,0.07039154682743512,0.06987593704227561,0.0005156097851595071
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),17,0.07039154682743512,0.06737136796589469,0.0030201788615404346
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),18,0.07039154682743512,0.07050757256379697,-0.0001160257363618522
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),19,0.07039154682743512,0.07138556840043392,-0.000994021572998799
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),20,0.07039154682743512,0.06997398293302404,0.00041756389441108266
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),21,0.07039154682743512,0.06811046945748604,0.0022810773699490777
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),22,0.07039154682743512,0.071848189355248,-0.0014566425278128847
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),23,0.07039154682743512,0.06928713782347717,0.0011044090039579457
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),24,0.07039154682743512,0.06953138089903406,0.0008601659284010604
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),25,0.07039154682743512,0.06786778469469519,0.002523762132739929
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),26,0.07039154682743512,0.06798452386195836,0.0024070229654767628
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),27,0.07039154682743512,0.06652410925421078,0.0038674375732243443
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),28,0.07039154682743512,0.06941340863126508,0.000978138196170042
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),29,0.07039154682743512,0.06967438518251357,0.0007171616449215545
1,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),30,0.07039154682743512,0.07295526821011147,-0.002563721382676354
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),1,0.07039154682743512,0.06921977915217077,0.0011717676752643486
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),2,0.07039154682743512,0.07245211286088088,-0.00206056603344576
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),3,0.07039154682743512,0.07225586200220989,-0.0018643151747747694
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),4,0.07039154682743512,0.06895518218199986,0.0014363646454352563
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),5,0.07039154682743512,0.06959742063538087,0.0007941261920542536
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),6,0.07039154682743512,0.07088790693498662,-0.0004963601075514967
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),7,0.07039154682743512,0.07360382343990862,-0.0032122766124735025
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),8,0.07039154682743512,0.07353312510316833,-0.003141578275733206
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),9,0.07039154682743512,0.06944789621817254,0.0009436506092625752
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),10,0.07039154682743512,0.07143204990819862,-0.0010405030807635052
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),11,0.07039154682743512,0.07373416249223577,-0.003342615664800652
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),12,0.07039154682743512,0.06588426525056976,0.004507281576865363
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),13,0.07039154682743512,0.07198474618051508,-0.0015931993530799576
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),14,0.07039154682743512,0.06780160238402295,0.002589944443412165
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),15,0.07039154682743512,0.07140729406488994,-0.001015747237454817
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),16,0.07039154682743512,0.06892970485796067,0.0014618419694744506
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),17,0.07039154682743512,0.06820973665256504,0.002181810174870083
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),18,0.07039154682743512,0.06983055619053671,0.0005609906368984063
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),19,0.07039154682743512,0.07053794205703455,-0.0001463952295994303
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),20,0.07039154682743512,0.06951419726054088,0.0008773495668942394
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),21,0.07039154682743512,0.06805435406467825,0.0023371927627568734
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),22,0.07039154682743512,0.07471753629330749,-0.004325989465872371
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),23,0.07039154682743512,0.06957752315050833,0.0008140236769267895
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),24,0.07039154682743512,0.06939737948294597,0.0009941673444891497
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),25,0.07039154682743512,0.06814770461165176,0.0022438422157833593
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),26,0.07039154682743512,0.06742542865373574,0.002966118173699378
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),27,0.07039154682743512,0.06697200785635984,0.0034195389710752755
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),28,0.07039154682743512,0.07058640427078194,-0.0001948574433468242
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),29,0.07039154682743512,0.06948618327234989,0.000905363555085234
2,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),30,0.07039154682743512,0.07154220636260732,-0.0011506595351721965
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),1,0.07039154682743512,0.06713631125853514,0.003255235568899978
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),2,0.07039154682743512,0.07074276004646148,-0.0003512132190263556
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),3,0.07039154682743512,0.06830624554329659,0.00208530128413853
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),4,0.07039154682743512,0.06814056000944185,0.002250986817993267
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),5,0.07039154682743512,0.06825634552103552,0.0021352013063996034
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),6,0.07039154682743512,0.06940951343285086,0.0009820333945842613
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),7,0.07039154682743512,0.06956340144107769,0.0008281453863574345
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),8,0.07039154682743512,0.06973309500542063,0.0006584518220144886
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),9,0.07039154682743512,0.06865202917275096,0.001739517654684164
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),10,0.07039154682743512,0.06914337530768119,0.0012481715197539267
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),11,0.07039154682743512,0.07165746722115034,-0.001265920393715217
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),12,0.07039154682743512,0.06963594845157922,0.0007555983758558982
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),13,0.07039154682743512,0.0699196779654007,0.00047186886203441636
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),14,0.07039154682743512,0.06822164995355548,0.00216989687387964
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),15,0.07039154682743512,0.06847407586863488,0.001917470958800238
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),16,0.07039154682743512,0.06671953014327453,0.0036720166841605895
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),17,0.07039154682743512,0.07004242556394945,0.00034912126348567163
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),18,0.07039154682743512,0.06898339841965319,0.0014081484077819312
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),19,0.07039154682743512,0.06940580988091866,0.0009857369465164634
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),20,0.07039154682743512,0.06871244455777231,0.0016791022696628077
3,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),21,0.07039154682743512,0.0697567072105475,0.0006348396168876225
