Bootstrap Iteration,Source Feature,Business-Friendly Label,Mean Absolute SHAP,SHAP Rank,Top Feature
15,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005612717379143669,8,False
15,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011862693684428186,6,False
15,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013135875639316184,4,True
15,donor_age,Donor Age,0.0025575046241075286,1,True
15,feature_gender_identity,Gender Identity,0.0020772675223081813,2,True
15,feature_preferred_address_type,Preferred Address Type,0.0015846278478679043,3,True
16,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0009070082379855976,7,False
16,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0010450767249082405,6,False
16,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005354120320254604,8,False
16,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011539492746035116,5,False
16,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.001183153370490131,4,True
16,donor_age,Donor Age,0.0027929092078277317,1,True
16,feature_gender_identity,Gender Identity,0.00211153463136871,2,True
16,feature_preferred_address_type,Preferred Address Type,0.0017016689081992623,3,True
17,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.0010758681356331456,7,False
17,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.001209559872157548,6,False
17,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005790438260156968,8,False
17,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0012612752635412139,5,False
17,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.001288928067469985,4,True
17,donor_age,Donor Age,0.0026807894086920132,1,True
17,feature_gender_identity,Gender Identity,0.0020986859520628273,2,True
17,feature_preferred_address_type,Preferred Address Type,0.001560557509356324,3,True
18,feature_past_5yr_total_donation,Total Donation Amount (Past 5 Years),0.00117216582550798,6,False
18,feature_past_5yr_average_donation,Average Donation Amount (Past 5 Years),0.0012817723880292464,5,False
18,feature_past_5yr_donation_frequency_rate,Donation Frequency Rate (Past 5 Years),0.0005410306090091409,8,False
18,feature_years_since_last_donation_past_5yr,Years Since Most Recent Donation,0.0011658305717945371,7,False
18,feature_past_5yr_max_donation,Maximum Annual Donation Amount (Past 5 Years),0.0013436488443081143,4,True
18,donor_age,Donor Age,0.002782038416386626,1,True
18,feature_gender_identity,Gender Identity,0.0021150351945457397,2,True
18,feature_preferred_address_type,Preferred Address Type,0.0015801349759429352,3,True
