Group,Repeat,Feature Count,Source Features,Permuted PR AUC,PR AUC Decrease
All Historical Donation Measures,13,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05290938290689967,0.01748216392053545
All Historical Donation Measures,14,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.06216332956632081,0.008228217261114307
All Historical Donation Measures,15,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05161441606190431,0.01877713076553081
All Historical Donation Measures,16,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05468713276379502,0.0157044140636401
All Historical Donation Measures,17,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.054366154854295495,0.016025391973139624
All Historical Donation Measures,18,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05530137295008527,0.015090173877349851
All Historical Donation Measures,19,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.053525800899129075,0.016865745928306045
All Historical Donation Measures,20,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05719436564142492,0.013197181186010203
All Historical Donation Measures,21,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05334465870020341,0.017046888127231707
All Historical Donation Measures,22,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05503290638012236,0.015358640447312763
All Historical Donation Measures,23,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.053881973777745215,0.016509573049689905
All Historical Donation Measures,24,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05515342860967903,0.015238118217756093
All Historical Donation Measures,25,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.0551708505196636,0.015220696307771522
All Historical Donation Measures,26,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05669938473160618,0.013692162095828943
All Historical Donation Measures,27,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05422866639379528,0.016162880433639837
All Historical Donation Measures,28,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05625862595502796,0.01413292087240716
All Historical Donation Measures,29,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05624690215985345,0.014144644667581668
All Historical Donation Measures,30,5,"feature_past_5yr_total_donation, feature_past_5yr_average_donation, feature_past_5yr_max_donation, feature_past_5yr_donation_frequency_rate, feature_years_since_last_donation_past_5yr",0.05986790816336009,0.010523638664075033
